Table 1
State/Territory/Agency,District,School,City,Source Date,Source,Additional Info,Confirmed - Students,Confirmed - Staff,Confirmed - Undefined,Quarantined (Yes/No),Quarantine - Students,Quarantine - Staff,Quarantined - Undefined,Possible - Students,Possible - Staff,Possible - Undefined,Deaths - Students,Deaths - Staff
TEXAS,DENISON ISD,DENISON H S,DENISON,08/18/20,https://b1ad40db-9c24-43fb-a122-49e236eb185c.filesusr.com/ugd/b07b75_6a89c995e62b40408f8a257d9ef10188.pdf,1 person at the high school tested positive. The person was on campus on 8/14/20. Those that came in contact with them have been notified.,,,1,,,,,,,,,
TEXAS,DRIPPING SPRINGS ISD,WALNUT SPRINGS EL,DRIPPING SPRINGS,08/10/20,https://www.kvue.com/article/news/investigations/defenders/covid19-schools-central-texas-school-districts-defenders/269-bd6d983d-ec71-406e-bf8c-4288ef7f82ff,2 staff members tested positive for COVID as of 8/10/20.,,,2,,,,,,,,,
TEXAS,EAGLE MT-SAGINAW ISD,SAGINAW H S,SAGINAW,08/28/20,https://drive.google.com/file/d/19MUGifFFeiuD1HzAy7jKkoG3SIcM8fVX/view?usp=drivesdk,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,EAGLE MT-SAGINAW ISD,,FORT WORTH,,https://www.emsisd.com/COVID19Dashboard,"District dashboard. Tracking of positive COVID cases began on August 17, 2020.",,,,,,,,,,,,
TEXAS,EANES ISD,WEST RIDGE MIDDLE,AUSTIN,09/10/20,"https://www.msn.com/en-us/news/us/four-people-test-positive-for-coronavirus-at-two-eanes-schools/ar-BB18UpAM?ocid=uxbndlbing
https://www.statesman.com/news/20200910/first-coronavirus-cases-reported-at-three-austin-area-school-districts",1 person tested positive for COVID,,,1,,,,,,,,,
TEXAS,EANES ISD,WESTLAKE H S,AUSTIN,09/10/20,"https://www.msn.com/en-us/news/us/four-people-test-positive-for-coronavirus-at-two-eanes-schools/ar-BB18UpAM?ocid=uxbndlbing
https://www.statesman.com/news/20200910/first-coronavirus-cases-reported-at-three-austin-area-school-districts",2 students tested positive for COVID.,3,,,,,,,,,,,
TEXAS,EARLY ISD,EARLY H S,EARLY,08/19/20,https://www.brownwoodnews.com/2020/08/19/early-student-athlete-tests-positive-for-covid-football-scrimmage-at-eastland-canceled/,1 football player tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ALTER ED CTR,ODESSA,08/20/20,https://www.oaoa.com/news/ecisd-reports-five-new-covid-cases/article_467fd54a-e34a-11ea-a0cd-9b547e61d091.html?fbclid=IwAR2015iQzuXH5lN-cB7oBLBuscPZuIxFwke4Un723wMOurXviuxnYghGdrs,1 employees tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,BONHAM MIDDLE,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,1 Faculty member tested positive for COVID-19,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,BONHAM MIDDLE,ODESSA,08/20/20,https://www.oaoa.com/news/ecisd-reports-five-new-covid-cases/article_467fd54a-e34a-11ea-a0cd-9b547e61d091.html?fbclid=IwAR2015iQzuXH5lN-cB7oBLBuscPZuIxFwke4Un723wMOurXviuxnYghGdrs,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,BONHAM MIDDLE,ODESSA,08/21/20,https://www.oaoa.com/news/ecisd-reports-two-new-covid-19-cases/article_b3f56670-e40e-11ea-a29c-83a6401f8d61.html,1 employee tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,CARVER EARLY EE-KG,ODESSA,08/21/20,https://www.oaoa.com/news/ecisd-reports-two-new-covid-19-cases/article_b3f56670-e40e-11ea-a29c-83a6401f8d61.html,1 employee tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,EDWARD K DOWNING EL,ODESSA,08/14/20,https://www.cbs7.com/2020/08/15/ecisd-reports-three-new-covid-cases-including-middle-school-student/,1 staff member tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,GEORGE H W BUSH NEW TECH ODESSA,ODESSA,08/18/20,"https://www.oaoa.com/news/ecisd-reports-two-new-covid-cases/article_c6e829ba-e1b2-11ea-87e1-f36071e4c97c.html
https://www.yourbasin.com/news/local-news/two-new-covid-19-cases-at-ecisd/",1 employee tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,L B JOHNSON EL,ODESSA,08/17/20,https://www.oaoa.com/news/ecisd-reports-covid-cases/article_07b3dd72-e0e6-11ea-b2a4-7bf06dc53c96.html,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,MURRY FLY EL,ODESSA,08/17/20,https://www.oaoa.com/news/ecisd-reports-covid-cases/article_07b3dd72-e0e6-11ea-b2a4-7bf06dc53c96.html,1 staff and 1 student tested positive for COVID,1,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,NIMITZ MIDDLE,ODESSA,08/14/20,https://www.cbs7.com/2020/08/15/ecisd-reports-three-new-covid-cases-including-middle-school-student/,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,Ector County ISD,ODESSA COLLEGIATE ACADEMY EARLY COLLEGE H S,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,1 Faculty member tested positive for COVID-19,,1,,,,,,,,,,
TEXAS,Ector County ISD,ODESSA COLLEGIATE ACADEMY EARLY COLLEGE H S,ODESSA,08/20/20,https://www.oaoa.com/news/ecisd-reports-five-new-covid-cases/article_467fd54a-e34a-11ea-a0cd-9b547e61d091.html?fbclid=IwAR2015iQzuXH5lN-cB7oBLBuscPZuIxFwke4Un723wMOurXviuxnYghGdrs,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ODESSA H S,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,2 Faculty members tested positive for COVID-19,,2,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ODESSA H S,ODESSA,08/17/20,https://www.oaoa.com/news/ecisd-reports-covid-cases/article_07b3dd72-e0e6-11ea-b2a4-7bf06dc53c96.html,1 employee tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ODESSA H S,ODESSA,08/19/20,https://www.oaoa.com/news/ecisd-reports-three-new-covid-cases/article_e81496d4-e278-11ea-bf7a-2ba50b166ac3.html,3 students testes positive for COVID,3,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ODESSA H S,ODESSA,08/20/20,https://www.mrt.com/news/local/article/ECISD-reports-24-coronavirus-cases-since-Aug-5-15498505.php,3 employees tested positive for COVID,,3,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,ODESSA H S,ODESSA,08/20/20,https://www.oaoa.com/news/ecisd-reports-five-new-covid-cases/article_467fd54a-e34a-11ea-a0cd-9b547e61d091.html?fbclid=IwAR2015iQzuXH5lN-cB7oBLBuscPZuIxFwke4Un723wMOurXviuxnYghGdrs,1 employees tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,PERMIAN H S,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,2 Faculty members tested positive for COVID-19,,2,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,PERMIAN H S,ODESSA,08/17/20,https://www.oaoa.com/news/ecisd-reports-covid-cases/article_07b3dd72-e0e6-11ea-b2a4-7bf06dc53c96.html,1 employee tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,PERMIAN H S,ODESSA,08/18/20,https://www.oaoa.com/news/ecisd-reports-two-new-covid-cases/article_c6e829ba-e1b2-11ea-87e1-f36071e4c97c.html,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,PERMIAN H S,ODESSA,08/18/20,https://www.yourbasin.com/news/local-news/two-new-covid-19-cases-at-ecisd/,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,Ector County ISD,Reagan Elementary,,08/17/20,https://www.oaoa.com/news/ecisd-reports-covid-cases/article_07b3dd72-e0e6-11ea-b2a4-7bf06dc53c96.html,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,SAM HOUSTON EL,ODESSA,08/20/20,https://www.oaoa.com/news/ecisd-reports-five-new-covid-cases/article_467fd54a-e34a-11ea-a0cd-9b547e61d091.html?fbclid=IwAR2015iQzuXH5lN-cB7oBLBuscPZuIxFwke4Un723wMOurXviuxnYghGdrs,1 employees tested positive for COVID,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,School Nutrition Department,ODESSA,08/14/20,https://www.cbs7.com/2020/08/15/ecisd-reports-three-new-covid-cases-including-middle-school-student/,1 staff member tested positive for COVID,,2,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,WILSON & YOUNG MEDAL OF HONOR MIDDLE,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,1 Faculty member tested positive for COVID-19,,1,,,,,,,,,,
TEXAS,ECTOR COUNTY ISD,WILSON & YOUNG MEDAL OF HONOR MIDDLE,ODESSA,08/13/20,https://www.mrt.com/news/local/article/ECISD-8-faculty-members-test-positive-15481173.php?fbclid=IwAR1JIJE81fMwl9zD0fEoy_w3FnqXKupCQKAhkqXYmdUX7RkLXipRLC5F9Nk,1 Faculty member tested positive for COVID-19,,1,,,,,,,,,,
TEXAS,EDNA ISD,At-Home Remote Learners,EDNA,08/14/20,https://www.ednaisd.org/,7 Cases,7,,,,,,,,,,,
TEXAS,EDNA ISD,EDNA H S,EDNA,08/14/20,https://www.victoriaadvocate.com/premium/more-students-teacher-test-positive-at-edna-schools/article_6d5a2566-de50-11ea-a3bf-838886ad0b84.html,4 cases,1,1,,,,,,,,,,
TEXAS,EDNA ISD,EDNA H S,EDNA,08/18/20,https://www.newsbreak.com/news/coronavirus/2043218349210/2-new-cases-of-covid-19-reported-in-edna-high-school-students,2 students confirmed to have cases.,2,,,,,,,,,,,
TEXAS,EDNA ISD,EDNA J H,EDNA,08/14/20,https://www.victoriaadvocate.com/premium/more-students-teacher-test-positive-at-edna-schools/article_6d5a2566-de50-11ea-a3bf-838886ad0b84.html,2 students tested positive for COVID-1. Could be the same 2 as listed in the crossroadstoday.com article.,2,,,,,,,,,,,
TEXAS,EDNA ISD,,EDNA,08/06/20,https://www.crossroadstoday.com/two-siblings-from-edna-isd-test-positive-for-covid-19/,2 related students tested positive for COVID-19,2,,,,,,,,,,,
TEXAS,EL PASO ISD,BARRON EL,EL PASO,07/23/20,https://kfoxtv.com/news/local/nurse-at-barron-elementary-school-died-of-covid-19?fbclid=IwAR3U70tXbAmUEuehMPg4VEyUX6jX-Ck9385HjvgzXxxIeYZjHHxO_3FDBY8,The nurse died from COVID-19.,,,,,,,,,,,,1
TEXAS,EVADALE ISD,EVADALE H S,EVADALE,08/18/20,12newsnow.com/article/news/local/evadale-isd-superintendent-responds-after-student-tests-positive-for-covid-19/502-3073e5a2-b1a1-4338-a212-15f07a0f6e74,1 high school tested positive. The student had been in all 3 schools in the district during the day. Future positive tests may not result in closing the schools,1,,,,,,,,,,,
TEXAS,EVADALE ISD,,EVADALE,08/18/20,https://www.12newsnow.com/article/news/local/outreach/back-to-school/evadale-schools-shut-down-for-cleaning-sanitization-3-days-after-opening-following-reported-student-covid-19-case/502-f97b52e1-d342-4d80-abcf-05ece08010ec?fbclid=IwAR0awM0kyKjsWR7QswSlpRico7kPGAlmtBWMK_QfH0WgzzMNfWRvQsiOM7I,District shut down 3 days after opening due to 1 positive COVID test for a student,1,,,,,,,,,,,
TEXAS,FLOUR BLUFF ISD,,CORPUS CHRISTI,08/05/20,https://www.caller.com/story/news/local/2020/08/05/flour-bluff-superintendent-dies-after-battle-covid-19/3298572001/,Superintendent dies of COVID-19,,,,,,,,,,,,1
TEXAS,FRENSHIP ISD,FRENSHIP H S,WOLFFORTH,08/25/20,"https://www.everythinglubbock.com/news/local-news/frenship-hs-student-tests-positive-for-covid-19/
https://imgur.com/EhsJmH2",1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,FRENSHIP ISD,NORTH RIDGE EL,WOLFFORTH,08/21/20,https://www.kcbd.com/2020/08/22/lubbock-frenship-isd-report-additional-covid-exposures/,1 student tested positive for COVID,1,,,,,,,,,,,
TEXAS,FRISCO ISD,ASHLEY EL,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,BLEDSOE EL,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,BORCHARDT EL,PLANO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,BRIGHT ACAD,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,,,,,,,,,,,
TEXAS,FRISCO ISD,CENTENNIAL H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,2,,,,,,,,,,
TEXAS,FRISCO ISD,Central Office,FRISCO,07/16/20,https://www.dallasnews.com/news/education/2020/07/16/frisco-isd-suspends-in-person-classes-until-september-students-will-begin-2020-21-school-year-online/,More than one staff member in the Central Offfice tested positive for COVID-19,,,,,,,,,,,,
TEXAS,FRISCO ISD,COBB MIDDLE,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,COMSTOCK EL,MCKINNEY,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,Frisco ISD,District Offices (non-campus),FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,4,,,,,,,,,,
TEXAS,FRISCO ISD,EARLY CHILDHOOD SCHOOL,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,ELLIOTT EL,MCKINNEY,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,FRISCO H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,3,1,,,,,,,,,,
TEXAS,Frisco ISD,Frisco High School,Frisco,08/20/20,https://dfw.cbslocal.com/2020/08/20/frisco-high-school-test-positive-coronavirus/,3 people have tested positive for COVID. A small number are in quarrantine.,,,3,,,,,,,,,
TEXAS,FRISCO ISD,HERITAGE H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,HUNT MIDDLE,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,,,,,,,,,,,
TEXAS,FRISCO ISD,INDEPENDENCE H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,4,,,,,,,,,,,
TEXAS,FRISCO ISD,LEBANON TRAIL H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,,,,,,,,,,,
TEXAS,FRISCO ISD,LIBERTY H S,FRISCO,08/07/20,https://www.dallasnews.com/news/public-health/2020/08/07/liberty-hs-students-test-positive-for-covid-19-after-attending-cheer-camp-frisco-isd-says/?outputType=amp,2 students attending a cheer camp tested positive. The rest of the attendees and their families were asked to quarrantine,2,,,Yes,38,,,,,,,
TEXAS,FRISCO ISD,LIBERTY H S,FRISCO,09/08/20,https://www.wfaa.com/article/news/education/covid-19-coronavirus-cases-dallas-fort-worth-schools/287-6f175d53-b031-4219-8501-7de74e8c3f30,1 student and 3 staff members have tested positive for COVID.,1,3,,,,,,,,,,
TEXAS,FRISCO ISD,LIBERTY H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,3,,,,,,,,,,
TEXAS,FRISCO ISD,LIBERTY H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,2,,,,,,,,,,,
TEXAS,FRISCO ISD,MEMORIAL H S,FRISCO,08/06/20,"https://www.dallasnews.com/news/public-health/2020/08/06/frisco-isd-memorial-high-school-staff-test-positive-for-covid-19/
https://www.fox4news.com/news/staff-members-at-four-north-texas-school-districts-test-positive-for-covid-19",2 Staff members tested positive for COVID-19.,,2,,,,,,,,,,
TEXAS,FRISCO ISD,MEMORIAL H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,3,,,,,,,,,,,
TEXAS,FRISCO ISD,OGLE EL,MCKINNEY,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,PIONEER HERITAGE MIDDLE,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,REEDY H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,1,,,,,,,,,,
TEXAS,FRISCO ISD,RIDDLE EL,PLANO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,ROBERTSON EL,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,SPARKS EL,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,STALEY MIDDLE,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,,1,,,,,,,,,,
TEXAS,FRISCO ISD,TRENT MIDDLE,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,1,,,,,,,,,,,
TEXAS,FRISCO ISD,WAKELAND H S,FRISCO,08/06/20,https://www.dallasnews.com/news/public-health/2020/08/06/frisco-isd-memorial-high-school-staff-test-positive-for-covid-19/,Students who participated in workouts earlier in the summer have tested positive.,,,,,,,,,,,,
TEXAS,FRISCO ISD,WAKELAND H S,FRISCO,08/20/20,https://dfw.cbslocal.com/2020/08/20/frisco-high-school-test-positive-coronavirus/,1 staff member has tested positive for COVID. A small number are in quarrantine.,,1,,,,,,,,,,
TEXAS,FRISCO ISD,WAKELAND H S,FRISCO,09/16/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Current active cases on 9/16/20,3,1,,,,,,,,,,
TEXAS,FRISCO ISD,,FRISCO,09/04/20,https://www.friscoisd.org/departments/covid-19/active-cases,District dashboard. Shows only active cases. Updated hourly.,,,,,,,,,,,,
TEXAS,GAINESVILLE ISD,GAINESVILLE H S,GAINESVILLE,08/27/20,https://www.gainesvilleregister.com/news/local_news/gisd-reports-3-virus-cases-students-from-ghs-lee-intermediate-quarantined/article_f10db8ac-e8b7-11ea-8d9f-37ec57f6361f.html,2 students tested positive for COVID.,2,,,,,,,,,,,
TEXAS,GAINESVILLE ISD,ROBERT E LEE INT,GAINESVILLE,08/27/20,https://www.gainesvilleregister.com/news/local_news/gisd-reports-3-virus-cases-students-from-ghs-lee-intermediate-quarantined/article_f10db8ac-e8b7-11ea-8d9f-37ec57f6361f.html,1 student tested positive for COVID.,1,,,,,,,,,,,
TEXAS,GALVESTON ISD,COLLEGIATE ACADEMY,GALVESTON,08/11/20,https://www.galvnews.com/news/free/article_421250eb-96d3-5d21-9def-7b1a0a8f75ca.html,Administrator tested positive for COVID-19,,1,,,,,,,,,,
TEXAS,GARLAND ISD,AUSTIN ACAD FOR EXCELL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,2,1,,,,,,,,,,
TEXAS,GARLAND ISD,BACK EL,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,1,,,,,,,,,,
TEXAS,GARLAND ISD,BUSSEY MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,2,1,,,,,,,,,,
TEXAS,GARLAND ISD,CALDWELL EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,2,,,,,,,,,,,
TEXAS,GARLAND ISD,CENTERVILLE EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,CLASSICAL CENTER AT BRANDENBURG MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,2,,,,,,,,,,
TEXAS,GARLAND ISD,CLUB HILL EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,3,2,,,,,,,,,,
TEXAS,GARLAND ISD,COOPER EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,ETHRIDGE EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,FREEMAN EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,GARLAND H S,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,GOLDEN MEADOWS EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,HICKMAN EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,JACKSON TECHNOLOGY CENTER,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,JOHN W ARMSTRONG EL,SACHSE,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,KATHERINE STEPHENS EL,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,LAKEVIEW CENTENNIAL H S,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,2,,,,,,,,,,,
TEXAS,GARLAND ISD,LIBERTY GROVE EL,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,MONTCLAIR EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,1,,,,,,,,,,
TEXAS,GARLAND ISD,N GARLAND H S,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,7,,,,,,,,,,,
TEXAS,GARLAND ISD,NAAMAN FOREST H S,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,5,,,,,,,,,,,
TEXAS,GARLAND ISD,NITA PEARSON EL,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,NORMA DORSEY EL,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,O'BANION MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,PARK CREST EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,2,,,,,,,,,,,
TEXAS,GARLAND ISD,PARSONS PRE-K CTR,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
TEXAS,GARLAND ISD,ROACH EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,ROWLETT H S,ROWLETT,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,S GARLAND H S,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,3,2,,,,,,,,,,
TEXAS,GARLAND ISD,SACHSE H S,SACHSE,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,2,,,,,,,,,,
TEXAS,GARLAND ISD,SAM HOUSTON MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,1,,,,,,,,,,,
TEXAS,GARLAND ISD,SELLERS MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,2,,,,,,,,,,
TEXAS,GARLAND ISD,SELLERS MIDDLE,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,5,,,,,,,,,,,
TEXAS,GARLAND ISD,SOUTHGATE EL,GARLAND,09/10/20,https://www.garlandisd.net/content/covid-19-cases-campus-location,Dashboard cases current as of 9/10/20.,,1,,,,,,,,,,
